Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_18_000000000-CNPPR_1_2105_24526_13799	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_26698_16555	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_21491_3008	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_17729_6762	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_12048_7923	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_9555_7768	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_15225_25190	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_19114_27126	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_25412_12902	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_26121_23332	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_11363_4674	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_5034_8455	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_9622_11150	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_18233_15535	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_28948_16825	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_12528_19209	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_21926_22870	2	2	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_19319_25627	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_21475_4046	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_6918_7645	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_4369_8507	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_28212_10064	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_4110_10769	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_12894_14611	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_23479_18147	3	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_2109_24410_21949	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_11467_26805	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_22464_6934	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_27648_10201	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_28648_11341	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_26524_15730	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_4706_22984	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_15944_23058	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_20235_28435	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_18250_14103	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_26029_15229	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_23577_18571	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_6902_22289	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_13679_3721	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_18505_10129	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_3361_19442	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_3569_20239	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_16727_25107	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_6531_8623	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_3360_10549	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_9644_11321	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_18267_11657	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_28327_19592	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_23063_22955	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_12567_4025	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_12342_5966	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_12017_16508	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_19289_19893	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_3585_21762	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_8435_21944	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_20532_25308	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_7113_13051	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_22186_16589	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_18158_17654	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_23105_23070	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_19622_2468	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_20873_11071	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_8399_15413	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_15985_17702	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_15542_26209	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_8317_5113	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_25414_15171	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_9429_15855	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_5870_20266	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_13243_20656	2	2	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_8883_21618	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_14164_22448	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_18028_27334	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_14376_27377	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_27184_12993	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_15466_19325	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_19693_16229	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_18123_24946	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_18064_2891	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_10399_5144	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_10749_10319	2	2	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_2790_16052	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_9274_20132	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_8562_8579	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_23072_10355	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_26829_12025	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_23076_13740	7	7	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_12817_18895	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_12825_11667	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_28333_16342	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_12621_22660	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_20757_12089	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_23696_24044	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_13710_24908	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_12641_26940	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_26061_10754	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_22063_21872	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_12183_24690	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_9300_21740	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_18688_26380	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_21867_27189	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_6083_8300	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_17521_13995	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_4627_15793	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_21669_18069	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_13538_19757	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_6401_21482	2	2	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_7098_22112	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_19144_11889	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_23238_14231	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_13957_15654	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_25602_18910	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_12098_7473	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_18133_17823	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_13486_23520	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_20584_27843	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_21008_8668	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_20963_23758	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_26279_8615	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_18945_9169	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_5183_9480	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_23930_11702	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_8347_23508	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_19577_24783	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_15215_26378	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_5817_7586	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_18469_8718	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_3721_18440	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_21550_24925	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_21267_19043	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_6451_11044	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_11585_19447	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_24036_20170	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_11577_25682	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_9569_5545	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_12252_7019	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_6662_10206	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_7163_14733	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_6977_15634	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_23694_17130	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_8732_18572	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_10683_20757	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_8287_22017	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_10925_25289	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_24584_6878	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_17513_16148	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_4083_17757	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_27644_18815	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_9093_23982	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_15904_26392	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_21981_12655	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_2782_14484	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_23872_15911	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_9987_16520	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_2764_16691	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_10791_20961	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_7766_21696	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_11862_5080	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_28972_12760	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_5401_20117	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_19445_4062	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_14702_4390	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_23298_8276	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_19992_13203	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_21048_14760	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_26442_16400	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_12834_16775	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_15679_25469	153055	3	153052	0.00196	53	1	52	1.8867924528301887
M06508_18_000000000-CNPPR_1_2112_21949_20216	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_14875_23320	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_6770_25099	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_6090_25246	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_16334_2296	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_17246_6050	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_2931_11423	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2113_14455_17321	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_10784_11177	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_8074_11825	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_20309_15419	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_8894_17265	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_3867_18234	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_9853_18813	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1101_11276_7960	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1102_16219_8602	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1102_8567_18496	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1102_7360_21558	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1103_19705_23309	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1104_8804_6892	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1104_12859_22092	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_19272_6917	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_14782_11994	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1106_14237_4316	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1107_6847_10548	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1108_25721_7949	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1108_6804_13179	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1113_9029_17795	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1113_19889_19827	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2101_6098_13781	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2101_26255_18532	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2101_16236_23730	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2102_17957_7753	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2104_18723_4052	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2107_11731_3907	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2107_19398_19182	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2107_11776_27394	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_9126_16477	2364	6	2358	0.253807	141	1	140	0.7092198581560284
M06508_12_000000000-CJG44_1_2110_25063_25593	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2111_23654_19982	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2113_9121_5529	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2113_27902_17942	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2114_5831_23370	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_6696_6446	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_14844_11664	1451	53	1398	3.652653	88	1	87	1.1363636363636365
M06508_18_000000000-CNPPR_1_1101_20479_12064	1785	161	1624	9.019608	38	2	36	5.263157894736842
M06508_18_000000000-CNPPR_1_1101_15544_15355	471	32	439	6.794055	29	1	28	3.4482758620689653
M06508_18_000000000-CNPPR_1_1101_10313_18073	31	31	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_11568_20584	97	59	38	60.824742	6	1	5	16.666666666666664
M06508_18_000000000-CNPPR_1_1102_11662_9474	158	58	100	36.708861	7	1	6	14.285714285714285
M06508_18_000000000-CNPPR_1_1102_4451_9859	44	1	43	2.272727	32	1	31	3.125
M06508_18_000000000-CNPPR_1_1102_4396_13366	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_10684_13770	21	21	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_21095_14662	42	31	11	73.809524	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1102_28605_15965	73	46	27	63.013699	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_23124_21269	77	3	74	3.896104	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_18634_2842	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_13331_6973	682	43	639	6.304985	27	2	25	7.4074074074074066
M06508_18_000000000-CNPPR_1_1103_7343_24764	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_14955_9452	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_27707_12086	2103	15	2088	0.713267	56	1	55	1.7857142857142856
M06508_18_000000000-CNPPR_1_1104_21551_13453	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_22367_14637	34	30	4	88.235294	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1104_27983_20290	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_17365_24412	5	1	4	20	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_10778_15447	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_8658_21680	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_15784_3177	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_25526_12753	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_17236_16135	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_19465_15751	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_13130_14580	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_17661_20404	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_25737_14087	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_25640_11206	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_25115_16586	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_10705_25541	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_13922_11055	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_12715_17177	264	4	260	1.515152	20	1	19	5
M06508_18_000000000-CNPPR_1_2101_11264_17886	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_11927_10252	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_6489_13087	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_8750_14423	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_24951_16286	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_6893_23350	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_9594_5794	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_26219_9465	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_19121_11393	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_12625_16367	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_17731_24366	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_28173_20375	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_4071_14320	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_10177_5765	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_6503_10787	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_10098_13296	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_27526_20886	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_4479_10360	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_11578_9658	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_9652_14517	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_7929_19773	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_19147_5442	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_27905_18845	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_8372_15507	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_12423_3436	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_8033_4073	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_10671_26941	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_14935_3225	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_13579_4527	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_18462_10785	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_10490_4319	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_27458_12517	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_21844_24388	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_10468_24091	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_24294_17501	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_15504_15889	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_4854_8215	24	24	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_14231_16659	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_8193_11215	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_20187_13842	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_11151_6907	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_20252_3045	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_23701_5310	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_26776_13193	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_29382_16906	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_11266_17555	2	2	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_7428_19444	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_27089_23236	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_20856_28316	137	1	136	0.729927	8	1	7	12.5
M06508_18_000000000-CNPPR_1_2108_9299_11271	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_9685_6766	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_7127_7013	6	1	5	16.666667	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_13580_14203	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_14458_7784	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_14468_21130	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_16981_5826	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_20973_19700	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_18498_3284	132	80	52	60.606061	6	1	5	16.666666666666664
M06508_18_000000000-CNPPR_1_1101_8930_4438	87	87	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_17408_6358	761	252	509	33.114323	55	2	53	3.6363636363636362
M06508_18_000000000-CNPPR_1_1101_14009_10076	211	211	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_18154_21012	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_14759_26976	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_15993_4228	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_6886_11653	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_12522_12352	8	1	7	12.5	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1103_25490_12919	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_23403_15477	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_10070_13628	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_3530_14836	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_22196_18032	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_19142_22943	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_23484_5025	1	1	0	100	1	1	0	100
